Title,Employer,Posting URL,Application Deadline,Published Date,Start Date,Hours per Week,Salary,Education Required,Experience Required,Location,Tags,Description,Contact Name,Contact Email
MS Assistantship: Costs & consequences of movements by reintroduced ungulates,Smithsonian's National Zoo and Conservation Biology Institute (Federal),https://jobs.rwfm.tamu.edu/view-job/?id=103220,02/21/2025,01/27/2025,between 6/30/2025 and 9/1/2025,40,"$9,816 to $19,914 per year",Bachelors,none,"JMU Biology Dept (Harrisonburg, Virginia)",Graduate Opportunities,"Opportunity: The Naylor Lab at James Madison University (Department of Biology) is seeking a Master’s student to start in Summer / Fall 2025 to use existing accelerometry and tracking data to investigate movement behavior, energetic costs, and fitness consequences, for scimitar-horned oryx (Oryx dammah) reintroduced in Chad. This project stems from the efforts of an international coalition led by the Environment Agency – Abu Dhabi, the Government of Chad, and nonprofit conservation organization Sahara Conservation to restore a viable population of oryx in their former native range.

Project synopsis: Movement is essential to fitness, as animals must pursue resources and mates, defend territories, and avoid predators and other threats. Animals reintroduced into a novel landscape face particularly extreme movement requirements, including exploring their new environment, rapidly acquiring resources, and identifying valuable foraging patches and breeding sites. These activities carry increased risks and energetic costs that may influence the survival and reproduction of individuals, larger social groups, and entire populations. The successful candidate will use video observations of oryx under human care, a species-specific ethogram, accelerometry and GPS tracking data, and emerging analytical approaches (e.g., hidden Markov and machine learning models) to classify oryx movement behavior. Activity budgets for reintroduced oryx will be used to estimate individual energetic costs over time. Contemporaneous field monitoring data will be used to investigate the potential fitness consequences of behavior regimes over short (e.g., within seasons) and long (e.g., with increasing experience) time periods. These analyses will directly inform the active reintroduction of oryx and other Critically Endangered Sahelo-Saharan antelope at sites across North, West, and Central Africa, and predict how ongoing land cover and projected climate change may affect these species.

JMU Biology Graduate Program: The successful candidate will be based at JMU (Harrisonburg, VA) with a small cohort of Master’s students. During the two-year program, they will embark on a rigorous research training experience through coursework and a mentored thesis project co-advised by Dr. Katherine Mertes (Smithsonian’s National Zoo and Conservation Biology Institute, Washington, DC and Front Royal, VA). In exchange for teaching five lab sections over four semesters, the candidate will receive a stipend and tuition waiver throughout their tenure. Summer support is also offered between the first and second year. The Program also provides robust teaching and scientific communication training; learn more at: https://www.jmu.edu/biology/graduate/index.shtml.

To apply: Contact project mentors Dr. Emily Naylor (naylorer@jmu.edu) and Dr. Katherine Mertes (mertesk@si.edu).",Not provided,mertesk@si.edu
MS position evaluating efficacy of electronic system to reduce wildlife-vehicle collisions,Cal Poly Humboldt (State),https://jobs.rwfm.tamu.edu/view-job/?id=103187,02/10/2025,01/27/2025,after 5/1/2025,20 - 40,"starting at $24,000 per year",Bachelors,at least 1 year,"Cal Poly Humboldt (Arcata, California)",Graduate Opportunities,"We seek a Master’s student candidate to support research on the evaluation of an Electronic Detection System to notify drivers of road crossing behavior by Roosevelt elk in Northwestern California. The student will join a team of collaborators from Cal Poly Humboldt (Humboldt), the California Department of Fish and Wildlife (CDFW), and the California Department of Transportation (Caltrans) to assess the efficacy of an Electronic Detection System to identify road crossing by elk and alert highway drivers in Humboldt County, CA. The successful candidate will likely also help to oversee and advise undergraduate honors theses in support of the overall project. 
 This position offers the opportunity for professional development with partners in state agencies and will provide hands-on experience working in the field. Successful applicants will need to be eligible for hire as a CDFW Scientific Aid or Caltrans technician and be willing to work part-time and gain experience with a state agency at the same time as pursuing their MS degree. Annual salary is available through a grant provided by Caltrans to Principal Investigator Micaela Szykman Gunther, Professor in the Department of Wildlife at Cal Poly Humboldt, who will serve as graduate committee chair and mentor. CA residents may be eligible for the State University Grant to cover in-state tuition. 
 Cal Poly Humboldt is a Hispanic Serving Institution (HSI) and the Department of Wildlife is committed to creating an inclusive learning environment that recruits, welcomes, and trains the diverse next generation of wildlife biologists. The Gunther lab is a healthy and safe environment committed to maintaining and promoting a diverse, inclusive, and collaborative work environment where members are empowered to freely and openly share their different views, ideas, and experiences. 
 Required Qualifications: 
-       Bachelor’s degree in Wildlife, Ecology, or related field 
-       At least one year of field experience working in this field of study 
-       Ability to work both independently and as part of a team to achieve research goals 
-       Willingness to work with and eligibility to be hired as an employee of state agencies 
-       Experience managing and analyzing large data sets 
-       Generally strong field, mapping, and quantitative skills 
-       Experience conducting field work under challenging conditions (e.g., difficult terrain, roadside surveys, remote access) 
 Preferred Qualifications: 
-       Field experience in a leadership role 
-       Experience with animal movement and road ecology 
-       Experience using GIS and R to manage and analyze wildlife data 
 Interested applicants should send the following materials combined into a single pdf to micaela.gunther@humboldt.edu with subject line “Elk EDS MS 2025”: 
1.    A letter of research interests that highlights relevant skills, field experiences, and career goals; 
2.    A cv or resume, including contact information for at least two references; and 
3.    Transcripts (unofficial okay) from all undergraduate institutions. 
 The successful applicant will be asked to submit an official application to the Natural Resources – Wildlife graduate program at Cal Poly Humboldt. Anticipated start date is 1 May 2025. Applications received by 10 Feb 2025 will receive full consideration.",Not provided,micaela.gunther@humboldt.edu
Graduate Assistantship in Amphibian Ecology and Conservation,University of Wyoming (State),https://jobs.rwfm.tamu.edu/view-job/?id=103198,03/07/2025,01/27/2025,between 8/17/2025 and 8/18/2025,30 - 40,Commensurate / Negotiable,Bachelors,at least 2 years,"Laramie, Wyoming",Graduate Opportunities,"­­Dr. Gabriel Barrile at the University of Wyoming is recruiting a graduate student interested in amphibian ecology and conservation.

Overview of the project: We are seeking an MSc student to investigate the reproductive ecology of amphibians. Specifically, this project will evaluate the characteristics of natural and anthropogenic waterbodies that support successful amphibian reproduction in Thunder Basin National Grassland (TBNG), which is inhabited by six of the eleven amphibian species native to Wyoming, four of which are Species of Greatest Conservation Need. TBNG is an arid rangeland with extensive ranching, where stock ponds constitute a dominant form of aquatic habitat. It is suspected that stock ponds and other anthropogenic water features (e.g., irrigation ditches, catch ponds above roads) serve as important breeding habitat for local amphibians. Yet, the characteristics of these artificial habitats (e.g., size, shape, salinity) that confer species-specific breeding success are unknown. This project will determine species-specific habitat requirements and assess the relative importance of artificial versus natural waterbodies in supporting amphibian reproduction.

This project is funded largely by the Wyoming Game and Fish Department (WGFD). The graduate student will work closely with WGFD personnel (fisheries biologists and the herpetological coordinator) to achieve project objectives, including and especially those that directly inform the management of amphibians and their habitat. Results from this study will provide information on species distribution, local abundance, and breeding habitat preferences for half of the amphibian species in the state of Wyoming. Through conducting this project, the graduate student will develop valuable skills in geographic information systems, spatial analysis, computer programming, data science, field ecology, amphibian conservation, and collaborative research. Previous experience with computer programming (e.g., Program R, Python) and conducting field work with amphibians is preferred but not required.

The position will begin in Fall 2025. The student will be given 2 years of funding (stipend + tuition), with the remaining semesters funded by internal or external fellowships and Teaching Assistantships. The candidate is expected to collaborate extensively with other members of the Barrile Lab. The lab sits within the Department of Zoology & Physiology and School of Computing at the University of Wyoming. Our goal is to develop a supportive and respectful community that fosters curiosity and exploration, produces high-quality original science, and launches productive and passionate independent scientists. We expect members of the lab to share our values for enthusiasm, communication, and collective excellence. 

Qualifications: Candidates must hold a Bachelor’s degree in wildlife, biology, ecology, computing, statistics, or a related field. The successful candidate for this position will have a strong working knowledge of wildlife ecology, excellent verbal and written communication skills, and analytical expertise including but not limited to spatial analyses and data management. Prior field experience and animal handling are strongly desired. Skills relevant to the project’s components will be viewed favorably (e.g., strong scientific writing, experience with statistical analyses). 

Application Instructions: To apply, please send the following to Gabe Barrile (gbarrile@uwyo.edu) in a single PDF: (1) a cover letter (1–2 pages) highlighting your qualifications, research motivations, your short and long-term career goals, and why you are interested in the project; (2) a curriculum vitae / resume that outlines your academic and professional experience; (3) a writing sample, which could be a technical report, academic paper, or class research project; (4) copies of unofficial transcripts or a list of classes taken, as well as your undergraduate GPA (please do not send GRE scores); and (5) names and email addresses of 3 references. The deadline for applications is March 2, 2025.

For more information, please contact Gabe Barrile (gbarrile@uwyo.edu).",Not provided,gbarrile@uwyo.edu
PhD Student opportunity in Texas tortoise ecology and conservation at Texas A&M University-Corpus Christi,Texas A&M University-Corpus Christi (State),https://jobs.rwfm.tamu.edu/view-job/?id=103149,03/01/2025,01/24/2025,8/18/2025,40,Commensurate / Negotiable,Masters,at least 2 years,"6300 Ocean Drive, Unit 5800 (Corpus Christi, Texas)",Graduate Opportunities,"The McCracken Lab at Texas A&M University-Corpus Christi seeks a highly motivated and talented PhD student to join our collaborative and dynamic research team starting Fall 2025. This position offers the opportunity to conduct cutting-edge research on the Texas tortoise (Gopherus berlandieri), a species of significant ecological and conservation importance in South Texas. This research will involve a combination of fieldwork in rugged South Texas habitats, laboratory analysis, and ecological modeling, focusing on aspects of movement ecology, disease ecology, and/or translocation biology of the Texas tortoise.

The successful candidate will:
Primary Responsibilities
Conduct field-based research on tortoise movement patterns using GPS telemetry and other innovative tracking methods.
Develop research questions and ideas within the scope of ongoing projects.
Assist with ongoing investigations of disease prevalence and its impact on tortoise health and population dynamics.
Assist with the ongoing assessment of translocation success and develop strategies to enhance conservation outcomes.
Collaborate with state and federal agencies, conservation organizations, and landowners to advance management efforts for the Texas tortoise.
Additional Opportunities
·      Mentor undergraduate researchers in the lab and field.
·      Present findings at national and international conferences.
 Qualifications
Required Qualifications:
Master’s degree in biology, wildlife ecology, or a related field.
Experience in fieldwork, particularly with herpetofauna or other wildlife.
Experience in data management and strong analytical skills (e.g., R statistics).
Strong writing and communication skills.
Preferred Qualifications:
Skills in GIS, telemetry, or statistical modeling are highly desirable.
Experience working with state or federal agencies.
A passion for conservation and working in challenging field conditions.
What We Offer
Fully funded research expenses.
Funding opportunities for a competitive stipend and tuition coverage.
Access to state-of-the-art facilities and equipment.
Mentorship from an engaged and interdisciplinary team of researchers.
The opportunity to work in diverse ecosystems focusing on applied conservation science.

Please submit the form (https://tinyurl.com/PhDTXtortoise) and your CV by March 1, 2025 if you wish to be considered for this PhD position.

Applications will be reviewed on a rolling basis, with priority given to those received by March 1, 2025.
Join the McCracken Lab
TAMUCC, located in Corpus Christi, TX, offers a unique coastal setting with access to diverse ecosystems and a vibrant research community. Join us in making a meaningful impact on the conservation of this iconic species and its habitats.",Not provided,Not provided
"Three Ph.D. Graduate Assistantships; College of Forestry, Wildlife and Environment at Auburn University",Steury Lab at Auburn University (State),https://jobs.rwfm.tamu.edu/view-job/?id=103118,03/01/2025,01/24/2025,after 8/1/2025,13 - 14,"starting at $25,750 per year",Masters,none,"Auburn, Alabama",Graduate Opportunities,"Auburn University invites applications for three new Ph.D. Graduate Assistants in the College of Forestry, Wildlife and Environment. These prestigious positions offer a unique opportunity to contribute to groundbreaking research and advance your academic career within a supportive and dynamic environment. 

About Auburn University
 
Auburn University, located in Auburn, Alabama, is a public research university with a rich history dating back to its founding in 1856. Recognized for its commitment to academic excellence, Auburn is home to diverse and vibrant campus life, offering a wide array of programs and opportunities for students. The university is dedicated to advancing knowledge through research, scholarship, and outreach, fostering a culture of innovation and discovery. Auburn's picturesque campus is renowned for its beautiful architecture, expansive green spaces, and state-of-the-art facilities, providing an inspiring setting for academic and personal growth. Auburn University is a Land, Sea, and Space Grant institution, only 1 of 17 institutions in the U.S. holding such distinction. 

About the College of Forestry, Wildlife and Environment
 
The College of Forestry, Wildlife and Environment at Auburn University is a leader in the fields of natural resource management, conservation, and environmental studies. The College is committed to providing high-quality education, conducting cutting-edge research, and engaging in meaningful outreach to address the complex challenges facing our natural world. Faculty in the College work collaboratively on a wide range of projects, with expertise including wildlife ecology and management, forestry, sustainable biomaterials and packaging, parks and recreation management, geospatial and environmental informatics, and environmental conservation and management. The College's interdisciplinary approach ensures that students receive a well-rounded education that prepares them for successful careers in academia, industry, and public service. For more information about the College, visit https://cfwe.auburn.edu.
 Position Description
 
These 1/3 time Ph.D. Graduate Assistant positions are intended for highly motivated individuals passionate about advancing research in forestry, wildlife, and environmental sciences, but also teaching. The positions are intended to support the teaching enterprise for the College, and thus the selected students will be expected to assist or teach at least one course every semester. The expected start date of the positions is August 1st, 2025. Pay is $25,750 plus tuition waiver. For more information about graduate education in the College, please visit: https://cfwe.auburn.edu/graduate-student-services/
 
Key Responsibilities
·         Assist with teaching at least one undergraduate course every semester, including preparing course materials and grading assignments.
·         Conduct independent and collaborative research in forestry, wildlife, or environmental sciences.
·         Assist faculty members with research projects, including data collection, analysis, and presentation of findings.
·         Contribute to scholarly publications and present research at academic conferences.

Qualifications
·         Master’s degree in forestry, wildlife, environmental science, or a related field, including natural-resources-related social sciences.
·         Excellent written and verbal communication skills.
·         Strong research skills, including experience with data collection, analysis, and interpretation.
·         Ability to work independently and collaboratively in a team environment.
 Application Process
 
Candidates MUST identify a graduate faculty advisor who agrees to supervise their graduate research. A list of graduate faculty in the College is available here: https://cfwe.auburn.edu/research/research-faculty-staff-directory/

Interested candidates should e-mail prospective faculty advisors. Applications must be submitted by faculty advisors.

Applications will require a CV/resume, cover letter explaining interest in and credentials for the position. 

Application Deadline
 
Applications will be reviewed starting February 15th, but the positions will remain open until filled. 

Contact Information
 
For further information about the position or the application process, please contact the graduate faculty advisor of interest. General inquiries may be made to Dr. Todd Steury, Associate Dean of Academic Affairs. However, Dr. Steury will not be accepting applications and will not be involved in the selection process.",Not provided,steury@auburn.edu
Grassland Wildlife PhD (North Dakota State University),North Dakota State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=102961,03/03/2025,01/23/2025,between 4/1/2025 and 5/16/2025,40,"starting at $25,000 per year",Masters,none,"Fargo, North Dakota",Graduate Opportunities,"Position Description: We seek a PhD student at North Dakota State University in the School of Natural Resource Sciences (SNRS). This position is funded by a Conservation Innovation Grant from the Natural Resource Conservation Service. The project will address research questions related to the response of grassland wildlife to patch-grazing strategies implemented with emerging virtual fencing technology. The student will work together with a large research team and lead independent research components. This student will focus on some aspect of avian community responses to patch-grazing while also have the opportunity to develop independent research questions and field experiments. Additionally, there will be another PhD student working on the project focused on the pollinator community with encouragement for collaboration across the two positions. Both students will 1) work as part of an interdisciplinary team of scientists to explore conservation outcomes of patch-grazing approaches, 2) collect field data across a network of working landscapes in North Dakota, and 3) develop and lead complementary research projects related to grassland conservation based on individual interests and skills. The selected student will have the opportunity to share their findings through extension and outreach activities and will be expected to publish findings in peer-reviewed journal articles.

Qualifications: Candidates must have a valid driver’s license, be able to lift 50 lbs, walk > 2 miles over rough terrain, and have a Master’s degree in a relevant discipline. Candidates must have a strong passion for applied ecological research and a desire to support working lands conservation. The most competitive applicants will have field experience including previous work with vegetation, and grassland wildlife.  Additionally, we seek candidates that have experience with the scientific process from data collection, to analysis, interpretation, and publication. Evidence of written work may be requested during the interview process.

To apply: Submit one combined document (pdf or doc) to torre.hovick@ndsu.edu that includes: 1) a cover letter discussing your experience and qualification along with future goals, 2) curriculum vitae, 3) transcripts (unofficial), and 4) contact information for three professional references. Reviews will begin as applications are received, but the positions will remain open until a suitable candidate is found.",Not provided,torre.hovick@ndsu.edu
MS Position: Northern Bobwhite Chick Survival,Texas Tech Quail (State),https://jobs.rwfm.tamu.edu/view-job/?id=102859,03/10/2025,01/21/2025,after 5/15/2025,40,"$18,000 per year",Bachelors,at least 2 years,"Dept. of Natural Resources Management (Lubbock, Texas)",Graduate Opportunities,"Agency: Texas Tech University 

Location: Lubbock, Texas

$18,000 per year, monies for a portion of in-state tuition for fall, spring, and summer semesters and some monies for a portion of health insurance

Start Date: May 15, 2025

Last Date to Apply: March 10, 2025

Description: 

I seek an enthusiastic, determined, and self-motivated master’s student to work on northern bobwhite chick survival in the Rolling Plains of Texas. The project is part of a larger study in Texas to understand the influence of supplemental feeding, predator management, and weather on bobwhite demographics. Specifically, the student’s thesis will be centered on determining cause specific mortality of bobwhite chicks and the influence of management tools on chick survival.  On-site field housing and travel will be provided. 

Qualifications:

Bachelor of Science degree conferred by May 15, 2025, in wildlife management, ecology, or a related discipline. The candidate must be able to work under field conditions that include hot temperatures, humidity, and abundant insects. Also, must have the capacity to learn quantitative techniques such as survival analysis and movement models. The ability to lead assist in hiring and lead a crew of interns is essential. Preference will be given to applicants with prior experience capturing and handling wildlife. The student should also be personable and a team player. A clean driving record is required.

For consideration, please send a cover letter, CV, and unofficial transcripts to the contact email below. In addition, please provide a list of at least 3 references.

Contact Person: Dr. Brad Dabbert

Contact email: brad.dabbert@ttu.edu",Not provided,brad.dabbert@ttu.edu
Graduate Research Assistant,Univeristy of Wyoming Jay Kemmerer WORTH Institute (State),https://jobs.rwfm.tamu.edu/view-job/?id=102847,03/01/2025,01/21/2025,after 8/18/2025,20,"starting at $35,884.27 per year",Bachelors,at least 1 year,"Laramie, Wyoming",Graduate Opportunities,"Dr. Dan McCoy, Director of the Jay Kemmerer Wyoming Outdoor Recreation, Tourism,and Hospitality (WORTH) Institute is seeking a Graduate Research Assistant to assist with research related to outdoor recreation and tourism in Wyoming.
Ideal candidates for this position will be interested in supporting the applied research services of the Jay Kemmerer WORTH Institute. In addition, ideal candidates will possess good written and oral communication skills and have experience collaborating and/or working as part of a team. Candidates should show creative and flexible thinking, be self-motivated and able to work independently with guidance and support from project collaborators.
The successful candidate selected will be admitted (pending ENRS application) into the Masters program in Environment, Natural Resources, and Society (ENRS) through the Haub School of Environment and Natural Resources. The position is the equivalent of 20 hours/week and will cover 9 credits of tuition during the fall/spring, summer salary, and student health insurance.

Qualifications: Applicants will be considered who have a BA or BS in any field, with preference given to social science, recreation, and tourism-related fields. Preference will be given to applicants with research experience in social sciences, tourism, outdoor recreation and or professional experience in the outdoor recreation or tourism industries.
To apply: Please send the following materials as PDF documents to Dr. Dan McCoy at dan.mccoy@uwyo.edu with the subject WORTH GRA position. This packet should include a cover letter/narrative that explains your desire to pursue graduate education, your research interests, career goals, and highlights relevant experience; resume or CV including degree(s) earned, GPA, and contact information for at least three references.
Closing date and time: March 1, 2025, at 5 p.m. MST.*Once the Office of Graduate Education has approved the student application, the student must accept the assistantship no later than April 15, 2025.",Not provided,dmccoy@uwyo.edu
MS Sage-grouse barriers to movement and predators in Wyoming,Oregon State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=102714,02/16/2025,01/17/2025,after 3/24/2025,40,"starting at $30,000 per year",Bachelors,at least 1 year,"Cody, Wyoming
Corvallis, Oregon",Graduate Opportunities,"Opening for a MS or possibly a PhD student starting March–April 2025. This study will evaluate female sage-grouse breeding season movement responses to human activities and structures, non-native grazers, and predators. In addition, this study will contribute to a larger research project aimed at evaluating similar effects on multi-seasonal movement and demographic rates. 

Duties Include: Sage-grouse capture, VHF/GPS collaring, monitoring nests and broods using radio-telemetry and GPS, corvid and raptor point counts, mammalian predator surveys (camera traps), writing, study design, and analysis (evaluation of response to habitat characteristics and interspecies interactions on movement and breeding season demographics). The position requires long and irregular hours (night work—during trapping, early mornings), under adverse field conditions (wind, rain, snow, mud). Individuals will be required to work in the field by themselves and in group settings. Study sites are located near Cody, Wyoming and coursework will be completed in Corvallis, Oregon. The student will also collaborate with University of Wyoming, Wyoming Game and Fish Department, and Bureau of Land Management.
 Preferred Qualifications: Self-motivated applicants experienced with study design, bird capture, collaring, radio-telemetry, 4WD vehicles, ATVs, GPS, data collection, and publication of peer-reviewed papers. Potential candidates should be excellent writers, well organized, self-motivated and able to perform duties independent of direct supervision; a valid driver license is required for this position.  
 Salary: ~$30,000/year + health benefits + tuition
 Last Date to Apply: February 16th, 2025, but applicants will be interviewed and hired as received.

Please submit by email (with “grouse_MS_appl.” in the subject line): cover letter, resume (CV) including GRE scores and GPA, unofficial transcripts, and three professional references (name, email, and phone number).",Not provided,jonathan.dinkins@oregonstate.edu
Several MS positions in Applied Ecology and Conservation Biology - Frostburg State University,Frostburg State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=102817,08/01/2025,01/17/2025,between 8/11/2025 and 8/18/2025,at least 40,"$9,000 to $15,000 per year",Bachelors,none,"Frostburg State University (Frostburg, Maryland)",Graduate Opportunities,"Graduate Student Opportunities – Fall 2025 Cohort
Department of Biology, Frostburg State University

The Master’s programs in Applied Ecology & Conservation Biology and Wildlife & Fisheries Biology at Frostburg State University are now recruiting passionate and driven students for the Fall 2025 graduate cohort!

We are specifically seeking candidates to join the Parasites and Plastics Ecology Group, with at least three funded graduate research positions available. This is an exciting opportunity to engage in impactful research addressing pressing environmental and ecological challenges.

About the Research Projects:
Selected students will have the opportunity to work on projects that involve a diverse array of taxonomic groups, including: Insects, Gastropods, Fish, and Birds from a range of ecological systems.

Potential study topics include, but are not limited to: Wildlife disease and parasite infection ecology, Ecosystem and population health, Dynamics of plastic pollution and its effects on ecological systems, Projects that integrate the study of plastic pollution with other ecological themes are highly encouraged.

Why Frostburg State University?
Frostburg State University (FSU) is a public university nestled in the scenic mountains of western Maryland. Known for its strong focus on experiential learning, FSU offers a supportive environment for academic and professional growth, with access to diverse ecosystems for hands-on research and field studies. The university is committed to sustainability, innovation, and fostering a vibrant community of scholars dedicated to addressing real-world challenges. FSU’s close-knit campus and exceptional faculty provide an ideal setting for students to excel in their academic pursuits while contributing to meaningful change.

Funding and Assistantship Opportunities:
Graduate students at FSU benefit from Teaching Assistantships (TAs) that include: Full or partial tuition remission to significantly offset educational costs and a living stipend for the academic year.

Additional opportunities are available for: University service roles, which can provide scholarships and supplemental summer pay.
These funding options ensure that students can focus on their research and academic goals while minimizing financial burdens.

Eligibility and Expectations:
Applicants should have a strong interest in ecological research and environmental health.

Backgrounds in biology, ecology, or related fields are preferred.

Prior research experience is a plus but not required.

Candidates are encouraged to explore shared research interests with the faculty advisor before applying.

Note: Cold applications are unlikely to be viewed as competitive. It is strongly recommended that interested individuals contact Dr. Kate Sheehan (klsheehan@frostburg.edu) to discuss their research interests and alignment with the program.

Application Requirements:
Faculty Advisor: Applicants must secure a major professor within the Department of Biology who is willing to mentor and guide their thesis research. It is essential that your research interests align with those of the faculty member.

For detailed information on admission requirements, please visit: FSU AECB Admission Requirements: https://www.frostburg.edu/academics/majorminors/graduate/ms-applied-ecology-and-conservation-biology/additional-resources/aecb-admission-requirements.php

Prospective students must meet the following criteria:
Educational Background: Completion of a baccalaureate degree from a regionally accredited institution with an undergraduate GPA of at least 3.0 on a 4.0 scale.

GRE Scores: Submission of GRE scores with a minimum combined score of 300 (Verbal + Quantitative) on the General Test. Scores below this threshold will be considered on an individual basis.

References: Three professional references attesting to your suitability for graduate study. Contact information for these references should be provided in your online application.

Résumé: Submission of a current résumé detailing your academic and professional experiences.

Statement of Purpose: A typewritten statement summarizing your educational goals and research interests.

How to Apply:
To express interest in one of these positions contact Dr. Kate Sheehan at klsheehan(AT)frostburg.edu to discuss potential research alignment.

Submit a complete online application to the graduate program through Frostburg State University, ensuring all the above requirements are met.

Application reviews start on March 1st, 2025",Not provided,klsheehan@frostburg.edu
Ph.D./MS Positions: Plant quarantine & Invasion biology,Beijing Forestry University (Private),https://jobs.rwfm.tamu.edu/view-job/?id=100006,02/27/2025,01/17/2025,after 9/1/2025,28 - 35,Commensurate / Negotiable,Bachelors,at least 1 year,"Beijing Forestry University (Beijing, China)",Graduate Opportunities,"Our research team is dedicated to studying major international quarantine pests and invasive forest species, achieving several innovative breakthroughs. We are recruiting one M.S. student/one Ph.D. student with interests in biological invasions and quarantine, biodiversity conservation, and forest pest monitoring to join us.
In our research on the spongy moth, we have used molecular markers and morphological studies to confirm, for the first time, the invasion of the European spongy moth in China. We also established a tracing system for spongy moths, advancing international pest tracking and tracing technologies. In the field of forestry invasive species, we identified the pine wood nematode’s northward spread across the Yangtze River, studied the distribution and spread of multiple invasive species, developed molecular diagnostic tools, proposed monitoring, and control strategies for European woodwasp, and effectively reduced infestation rates. In pest risk analysis, we were the first in China to build a quantitative pest risk analysis system supported by @risk software. We utilized climate models to predict potential suitable habitats for invasive species, thereby strengthening biosecurity management.
If you are eager to contribute meaningfully to national and international forest biosecurity, we welcome your application. The candidates may have the opportunity to develop additional research questions that align with the research goals, and the students will be supervised by Prof. Juan Shi.

Key Responsibilities
·       Conduct fieldwork 
·       Data Management and Analysis
·       Paper writing and Publication and so on 

Qualifications Required 

M.S. Assistantship:  

·       B.S. in forestry, forest-protection, plant protection, entomology or related discipline 
·       A minimum grade point average (GPA) of 3.0 (on a 4.0 scale)  
·       Demonstrated experience with statistical software (e.g., Program R)
·       Excellent communication skills (written and verbal) 
·       Demonstrated research experience (data collection, analysis, writing) 
·       Ability to conduct fieldwork 

Ph.D. Assistantship:  

·       M.S. in forestry, forest-protection, plant protection, entomology, or related discipline 
·       A minimum grade point average (GPA) of 3.0 (on a 4.0 scale)  
·       Strong quantitative skills  
·       Demonstrated experience with statistical software (e.g., Program R) 
·       Excellent communication skills (written and verbal) 
·       Demonstrated research experience (data collection, analysis, writing) 
·       Ability to conduct fieldwork 

Preferred Qualifications 

·       Previous experience of the research 
·       Record of peer-reviewed publications and conference presentations
 Stipend/Salary  

(M.S.) 3000RMB /month stipend and other benefits includes waiver of accommodation, tuition and medical insurance

 (Ph.D.) 3500RMB /month stipend and other benefits includes waiver of accommodation, tuition and medical insurance

Contact

For research related questions, please contact Professor Shi: shi_juan@263.net
My website: http://lxy.bjfu.edu.cn/szdw/js/295905.html
For application related questions, please visit: https://english.bjfu.edu.cn/ or email to admission@bjfu.edu.cn",Not provided,shi_juan@263.net
M.S. Student in Population Genomics,USDA (Federal),https://jobs.rwfm.tamu.edu/view-job/?id=102555,04/14/2025,01/17/2025,between 2/14/2025 and 5/30/2025,40,"up to $26,000 per year",Bachelors,none,"University of Maine (Orono, Maine)",Graduate Opportunities,"A new fully-funded MS student position is available to participate in a USDA-ARS-supported study investigating genetic population structure and potential local adaptation of lumpfish (Cyclopterus lumpus) in the Gulf of Maine (GoM). A new selective breeding program is being developed at the National Cold Water Marine Aquaculture Center in Franklin, ME, with the goal of producing genetically improved Lumpfish for co-culture in Atlantic salmon commercial net pens. This project will characterize genetic diversity and population structure using whole genome sequencing approaches on representative samples of wild lumpfish from across the GoM and surrounding regions. Environmental variables such as temperature will be correlated with genetic variation, and common-garden experiments may be conducted to test for adaptive variation. This research will help ensure that lumpfish broodstock used in selective breeding efforts capture natural levels of diversity, and this work may identify key adaptive traits, such as thermal tolerance, which would inform selective breeding decisions as well as understanding the natural history of lumpfish and adaptation in marine systems.

For additional information and to apply: https://forms.gle/bK3gpn1f61uB179g9",Not provided,Samuel.May@usda.gov
